Judgments by year and court
The complete position. A blank cell means no judgments are held for that court in that year.
Year,Patna,Bombay,Allahabad,Madras,Telangana,Kerala,Karnataka,Chhattisgarh,Punjab and Haryana,Gujarat,Madhya Pradesh,Rajasthan,Delhi,Gauhati,Orissa,Andhra Pradesh,Jharkhand,Calcutta,Himachal Pradesh,Uttarakhand,Jammu and Kashmir,Supreme Court of India,Tripura,Manipur,Meghalaya,Sikkim,All courts
1998,,,,,45,1,113,,,5860,,,9,,,,1,,1,1,,491,,,,,6522
1999,,6,,1,54,2,2,1,,4918,,2,,,1,,2,27,1,2,,570,,,,,5589
2000,,1,,7,44,2,1,42,,9223,13,2,,9,1,,5,,,30,,608,,,,3,9991
2001,29,13,,42,115,3,1,636,,6783,,3,5,19,4,4,,37,25,555,,610,,,,,8884
2002,46,389,,1000,172,2,,506,,5150,,2,47,49,2,2,1,,,702,,578,,,,2,8650
2003,,1712,,1089,348,2,,1594,,4727,,3,86,6,1,,,,,1751,3,751,,,,2,12075
2004,,14918,,981,19449,,3,2137,,6159,,215,74,5,6,,,,32,1910,,729,,,,4,46622
2005,,46408,,541,27888,41,,4834,,8780,,1091,94,18,38,,,,52,1379,,630,,,,2,91796
2006,,44637,1,2435,25353,4614,1,8562,,7943,,3628,211,72,56,,,,685,3622,3,976,,,,3,102802
2007,,50131,1,3139,32360,41974,6,12107,,7303,,5971,1207,1223,21,,,,2759,1818,28,1322,,,,1,161371
2008,43125,56564,1,3465,28235,48445,20,9519,9281,10472,,6285,2419,998,24,,,,4838,4513,87,1123,,,,2,229416
2009,70848,76596,,3929,32367,43029,90,12436,21022,2,2,6555,,1275,120,,,,5106,2601,105,6,,,,2,276091
2010,80583,85164,21,5186,53806,43472,128,15327,26991,2,45,5138,6686,4176,523,,,,10029,5349,132,905,,,4,5,343672
2011,90289,86837,,20485,60412,45159,270,15218,28601,17,1024,4298,15037,10829,464,,,,9865,3273,111,847,,,26,1,393063
2012,89210,80986,1,,59759,46742,22975,17904,,11930,7825,6239,11363,14200,546,,2019,,13329,4982,194,619,,,30,2,390855
2013,79969,84875,,30775,53683,43870,7140,17377,24989,9267,8552,6050,9143,15705,1580,,5306,,9273,6782,49,839,613,,202,13,416052
2014,79053,86185,,37988,63344,46899,40013,16782,34949,12472,13537,12025,6592,14300,835,,7115,,8611,5805,141,764,2249,,265,38,489962
2015,97523,91247,,66167,58639,50239,37783,19959,40264,8996,23839,13289,16338,13879,6165,,11086,,9493,6213,182,743,1911,,172,6,574133
2016,86004,92917,,87551,66022,50760,33935,26230,39726,,26179,16517,42159,11565,11491,,10412,1,7920,5736,257,566,1999,,229,6,618182
2017,94665,93927,,91567,59035,48551,33096,30062,42297,,23935,26553,37087,12597,9047,,14579,,6290,7341,2231,710,1171,169,438,16,635364
2018,115050,91879,187627,109796,66543,60623,31917,35877,51243,45370,33472,26891,40186,22564,5750,,15211,,7433,7131,2081,760,1420,707,380,23,959934
2019,115146,97337,227729,122675,33738,66414,42268,37968,46905,61793,37064,23191,26909,24546,14041,13109,25251,280,8237,9057,3706,806,1913,1143,543,57,1041826
2020,50918,33088,122436,92010,21836,43551,34035,22999,30505,40854,26738,22870,13077,15750,16043,24189,15223,4722,5697,5577,3941,465,1172,487,325,74,648582
2021,57695,64420,171291,134649,38578,48594,59310,29804,24332,53236,37058,30867,4502,19655,33667,29274,25078,31064,9123,8155,5556,405,1435,798,425,94,919065
2022,115970,93446,271667,171130,70437,68458,59820,32144,50529,68282,68167,33371,4863,26009,44831,44925,29904,49240,11906,8593,5567,925,1762,1579,771,27,1334323
2023,135369,103095,272770,177301,66202,74319,67670,42043,3023,4509,86604,38256,8314,27946,52249,48810,31165,47516,14899,8844,6480,839,1468,1041,854,23,1321609
2024,122295,73777,84325,172714,37797,40374,78994,50617,8594,1737,8578,29186,48027,26511,50263,55650,32481,37786,18772,7589,5433,744,1235,989,858,27,995353
2025,91197,44981,160377,158328,27765,,31685,46102,2,5155,,6065,28497,21808,35291,38517,21533,31877,19783,4532,4002,439,594,990,739,20,780279
