raw_label_in_qdrant,resolves_to,collection,chunks,cases,mapping_source,unknown_to_application
High Court of Allahabad,Allahabad High Court,legal_corpus_v2,9,7,COURT_NAME_VARIANTS in code,no
High Court of Chhattisgarh,Chhattisgarh High Court,legal_corpus_v1,6,4,COURT_NAME_VARIANTS in code,no
High Court of Telangana,Telangana High Court,legal_corpus_v1,5,3,COURT_NAME_VARIANTS in code,no
High Court of Amaravati,Andhra Pradesh High Court,legal_corpus_v2,5,1,COURT_NAME_VARIANTS in code,no
High Court of Tripura,Tripura High Court,legal_corpus_v2,5,3,COURT_NAME_VARIANTS in code,no
High Court,(unresolved court label),legal_corpus_v1,3,3,unresolvable,no
High Court of Aurangabad,Bombay High Court,legal_corpus_v1,3,1,inferred for this report,yes
High Court of Karnataka,Karnataka High Court,legal_corpus_v1,3,1,COURT_NAME_VARIANTS in code,no
High Court of Rajasthan,Rajasthan High Court,legal_corpus_v1,3,2,COURT_NAME_VARIANTS in code,no
High Court of Andhra,Andhra Pradesh High Court,legal_corpus_v1,2,1,inferred for this report,yes
High Court of Guwahati,Gauhati High Court,legal_corpus_v1,2,1,inferred for this report,yes
High Court of Jabalpur,Madhya Pradesh High Court,legal_corpus_v1,2,1,inferred for this report,yes
High Court of Chennai,Madras High Court,legal_corpus_v1,1,1,inferred for this report,yes
High Court of Nagpur,Bombay High Court,legal_corpus_v1,1,1,inferred for this report,yes
High Court of Kashmir,Jammu & Kashmir High Court,legal_corpus_v2,1,1,inferred for this report,yes
