court,court_type,year,cases_pre_dedup,chunks,chunks_per_case,supabase_rows
Supreme Court of India,Supreme Court,1995,915,6181,6.76,931
Supreme Court of India,Supreme Court,1996,1531,9214,6.02,1552
Supreme Court of India,Supreme Court,1997,833,5222,6.27,850
Supreme Court of India,Supreme Court,1998,491,4294,8.75,507
Supreme Court of India,Supreme Court,1999,570,5131,9.0,589
Supreme Court of India,Supreme Court,2000,608,5384,8.86,629
Supreme Court of India,Supreme Court,2001,610,5150,8.44,636
Supreme Court of India,Supreme Court,2002,578,5387,9.32,605
Supreme Court of India,Supreme Court,2003,751,7376,9.82,788
Supreme Court of India,Supreme Court,2004,729,6968,9.56,748
Supreme Court of India,Supreme Court,2005,630,6310,10.02,653
Supreme Court of India,Supreme Court,2006,976,8865,9.08,994
Supreme Court of India,Supreme Court,2007,1322,10117,7.65,1383
Supreme Court of India,Supreme Court,2008,1123,9033,8.04,1189
Supreme Court of India,Supreme Court,2009,6,53,8.83,6
Supreme Court of India,Supreme Court,2010,905,10041,11.1,973
Supreme Court of India,Supreme Court,2011,847,10075,11.89,904
Supreme Court of India,Supreme Court,2012,619,8658,13.99,690
Supreme Court of India,Supreme Court,2013,839,10891,12.98,921
Supreme Court of India,Supreme Court,2014,764,9024,11.81,825
Supreme Court of India,Supreme Court,2015,743,8475,11.41,804
Supreme Court of India,Supreme Court,2016,566,7210,12.74,605
Supreme Court of India,Supreme Court,2017,710,9113,12.84,766
Supreme Court of India,Supreme Court,2018,760,9876,12.99,828
Supreme Court of India,Supreme Court,2019,806,10786,13.38,867
Supreme Court of India,Supreme Court,2020,465,8494,18.27,494
Supreme Court of India,Supreme Court,2021,405,8186,20.21,433
Supreme Court of India,Supreme Court,2022,925,12798,13.84,990
Supreme Court of India,Supreme Court,2023,839,14203,16.93,1105
Supreme Court of India,Supreme Court,2024,744,11344,15.25,1369
Supreme Court of India,Supreme Court,2025,439,5384,12.26,790
Tripura High Court,High Court,2013,613,1810,2.95,567
Tripura High Court,High Court,2014,2250,10190,4.53,2178
Tripura High Court,High Court,2015,1911,9810,5.13,1908
Tripura High Court,High Court,2016,1999,19260,9.63,1993
Tripura High Court,High Court,2017,1172,5669,4.84,1170
Tripura High Court,High Court,2018,1420,13054,9.19,1420
Tripura High Court,High Court,2019,1914,12740,6.66,1913
Tripura High Court,High Court,2020,1172,10416,8.89,1172
Tripura High Court,High Court,2021,1435,23618,16.46,1435
Tripura High Court,High Court,2022,1762,9710,5.51,1762
Tripura High Court,High Court,2023,1468,6894,4.7,1468
Tripura High Court,High Court,2024,1235,10996,8.9,1235
Tripura High Court,High Court,2025,594,4368,7.35,594
Manipur High Court,High Court,2017,169,329,1.95,169
Manipur High Court,High Court,2018,707,1655,2.34,707
Manipur High Court,High Court,2019,1143,5274,4.61,1143
Manipur High Court,High Court,2020,487,3507,7.2,487
Manipur High Court,High Court,2021,798,3694,4.63,798
Manipur High Court,High Court,2022,1579,6690,4.24,1579
Manipur High Court,High Court,2023,1041,4777,4.59,1041
Manipur High Court,High Court,2024,989,2808,2.84,989
Manipur High Court,High Court,2025,990,2909,2.94,990
Meghalaya High Court,High Court,2010,4,52,13.0,4
Meghalaya High Court,High Court,2011,26,369,14.19,19
Meghalaya High Court,High Court,2012,30,180,6.0,27
Meghalaya High Court,High Court,2013,202,1102,5.46,158
Meghalaya High Court,High Court,2014,265,1371,5.17,258
Meghalaya High Court,High Court,2015,172,1306,7.59,172
Meghalaya High Court,High Court,2016,229,778,3.4,229
Meghalaya High Court,High Court,2017,438,1678,3.83,438
Meghalaya High Court,High Court,2018,380,925,2.43,380
Meghalaya High Court,High Court,2019,543,1317,2.43,543
Meghalaya High Court,High Court,2020,325,1830,5.63,325
Meghalaya High Court,High Court,2021,425,1199,2.82,425
Meghalaya High Court,High Court,2022,771,2474,3.21,771
Meghalaya High Court,High Court,2023,854,2609,3.06,854
Meghalaya High Court,High Court,2024,858,2691,3.14,858
Meghalaya High Court,High Court,2025,739,2328,3.15,739
Sikkim High Court,High Court,2000,3,10,3.33,3
Sikkim High Court,High Court,2002,2,8,4.0,2
Sikkim High Court,High Court,2003,2,4,2.0,2
Sikkim High Court,High Court,2004,4,20,5.0,4
Sikkim High Court,High Court,2005,2,4,2.0,2
Sikkim High Court,High Court,2006,3,71,23.67,3
Sikkim High Court,High Court,2007,1,2,2.0,1
Sikkim High Court,High Court,2008,2,4,2.0,2
Sikkim High Court,High Court,2009,2,22,11.0,2
Sikkim High Court,High Court,2010,5,66,13.2,5
Sikkim High Court,High Court,2011,1,2,2.0,1
Sikkim High Court,High Court,2012,2,4,2.0,2
Sikkim High Court,High Court,2013,13,450,34.62,13
Sikkim High Court,High Court,2014,39,253,6.49,38
Sikkim High Court,High Court,2015,6,70,11.67,6
Sikkim High Court,High Court,2016,7,67,9.57,6
Sikkim High Court,High Court,2017,16,38,2.38,16
Sikkim High Court,High Court,2018,23,73,3.17,23
Sikkim High Court,High Court,2019,57,270,4.74,57
Sikkim High Court,High Court,2020,75,647,8.63,74
Sikkim High Court,High Court,2021,94,324,3.45,94
Sikkim High Court,High Court,2022,27,71,2.63,27
Sikkim High Court,High Court,2023,23,81,3.52,23
Sikkim High Court,High Court,2024,27,57,2.11,27
Sikkim High Court,High Court,2025,20,60,3.0,20
